,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,platikambos,20,GR,1604783759,87,39.62,22.53,54.0,1.59
1,punta arenas,40,CL,1604783759,51,-53.15,-70.92,60.8,31.09
2,cape town,75,ZA,1604783760,82,-33.93,18.42,62.01,17.22
3,emerald,90,AU,1604783760,94,-23.53,148.17,71.01,9.17
4,moose factory,1,CA,1604783760,94,51.26,-80.61,32.0,12.75
5,santiago de cuba,90,CU,1604783760,94,20.02,-75.82,73.4,4.7
6,atuona,66,PF,1604783760,70,-9.8,-139.03,77.86,13.4
7,atocha,100,BO,1604783761,78,-20.93,-66.23,44.38,11.12
8,raga,0,SS,1604783761,37,8.46,25.68,74.75,2.71
9,busselton,50,AU,1604783761,66,-33.65,115.33,55.0,3.2
10,nanortalik,100,GL,1604783566,90,60.14,-45.24,32.47,7.54
11,tornio,0,FI,1604783762,59,65.85,24.15,37.4,12.75
12,nishihara,1,JP,1604783640,100,26.18,127.76,75.2,3.36
13,kamskoye ustye,75,RU,1604783762,84,55.2,49.27,78.3,11.18
14,ushuaia,75,AR,1604783762,41,-54.8,-68.3,60.8,12.75
15,torbay,75,CA,1604783612,87,47.67,-52.73,46.99,33.33
16,boyolangu,1,ID,1604783763,84,-8.12,111.89,74.75,2.8
17,yellowknife,90,CA,1604783764,85,62.46,-114.35,12.2,5.82
18,san cristobal,40,VE,1604783764,70,7.77,-72.22,84.2,11.41
19,ponta do sol,20,PT,1604783554,68,32.67,-17.1,66.2,3.36
20,ribeira grande,40,PT,1604783555,82,38.52,-28.7,59.0,10.29
21,castro,0,BR,1604783555,51,-24.79,-50.01,71.47,3.6
22,mar del plata,0,AR,1604783471,60,-38.0,-57.56,71.6,3.36
23,olga,21,RU,1604783764,87,43.74,135.29,32.94,2.59
24,cap malheureux,21,MU,1604783765,76,-19.98,57.61,71.01,1.99
25,thompson,90,CA,1604783543,79,55.74,-97.86,19.4,2.24
26,tuktoyaktuk,75,CA,1604783590,79,69.45,-133.04,26.6,21.92
27,dois riachos,36,BR,1604783766,69,-9.39,-37.1,79.95,15.05
28,san patricio,20,US,1604783766,54,28.02,-97.52,82.4,12.75
29,mount isa,18,AU,1604783766,13,-20.73,139.5,77.0,10.29
30,tiksi,0,RU,1604783766,91,71.69,128.87,-8.05,1.86
31,bluff,2,NZ,1604783766,56,-46.6,168.33,51.01,11.01
32,bethel,1,US,1604783767,35,41.37,-73.41,73.4,5.82
33,nikolskoye,90,RU,1604783767,87,59.7,30.79,48.2,15.66
34,new norfolk,5,AU,1604783767,70,-42.78,147.06,48.99,1.01
35,marsa matruh,96,EG,1604783768,72,31.35,27.25,68.0,6.93
36,kapaa,40,US,1604783768,78,22.08,-159.32,82.4,13.87
37,gap,100,FR,1604783768,82,44.67,6.0,44.94,4.68
38,yinchuan,0,CN,1604783769,54,38.47,106.27,43.34,1.81
39,lata,85,PT,1604783769,92,40.16,-8.33,60.01,3.0
40,harper,95,LR,1604783666,84,4.38,-7.72,79.66,5.41
41,doha,0,QA,1604783770,69,25.29,51.53,82.99,2.24
42,sinazongwe,0,ZM,1604783770,37,-17.26,27.46,85.51,3.29
43,coro,60,VE,1604783770,77,11.4,-69.67,83.64,11.92
44,barcelona,11,ES,1604783608,93,41.39,2.16,61.0,3.36
45,sisimiut,99,GL,1604783770,85,66.94,-53.67,15.49,14.76
46,barrow,90,US,1604783771,92,71.29,-156.79,30.2,23.04
47,aquin,99,HT,1604783771,81,18.28,-73.4,80.17,11.56
48,clyde river,20,CA,1604783590,83,70.47,-68.59,-5.8,4.7
49,kutum,5,SD,1604783642,26,14.2,24.67,67.68,10.65
50,ilo,87,PE,1604783771,75,-17.64,-71.34,64.15,0.31
51,hobart,20,AU,1604783772,75,-42.88,147.33,48.99,9.17
52,rikitea,42,PF,1604783546,72,-23.12,-134.97,71.46,16.82
53,tasiilaq,80,GL,1604783772,92,65.61,-37.64,26.6,8.05
54,upernavik,0,GL,1604783560,76,72.79,-56.15,-1.19,7.36
55,tazovskiy,100,RU,1604783773,99,67.47,78.7,27.16,5.95
56,hermanus,0,ZA,1604783773,76,-34.42,19.23,62.01,8.01
57,mataura,65,NZ,1604783774,56,-46.19,168.86,51.01,11.01
58,kruisfontein,0,ZA,1604783774,80,-34.0,24.73,61.0,4.74
59,cayenne,40,GF,1604783614,100,4.93,-52.33,78.8,1.12
60,provideniya,12,RU,1604783531,93,64.38,-173.3,28.27,5.35
61,trairi,26,BR,1604783774,73,-3.28,-39.27,80.51,11.99
62,kodiak,90,US,1604783775,75,57.79,-152.41,44.6,11.41
63,odweyne,9,SO,1604783775,34,9.41,45.06,70.2,3.22
64,lermontovka,86,RU,1604783776,98,47.15,134.34,27.84,1.5
65,jamestown,1,US,1604783749,34,42.1,-79.24,68.0,5.82
66,peleduy,100,RU,1604783776,91,59.63,112.74,3.16,3.18
67,albany,75,US,1604783776,43,42.6,-73.97,69.8,5.82
68,pacific grove,20,US,1604783479,62,36.62,-121.92,57.99,8.05
69,jharsuguda,0,IN,1604783777,57,21.85,84.03,61.54,5.53
70,sitka,40,US,1604783578,80,57.05,-135.33,35.6,4.7
71,itaituba,20,BR,1604783572,52,-4.28,-55.98,93.2,8.05
72,geraldton,90,AU,1604783778,77,-28.77,114.6,68.0,6.93
73,kaitangata,95,NZ,1604783778,54,-46.28,169.85,52.0,10.0
74,severo-kurilsk,3,RU,1604783778,83,50.68,156.12,34.48,1.92
75,puerto ayora,20,EC,1604783544,65,-0.74,-90.35,78.8,23.04
76,campbell river,20,CA,1604783779,45,50.02,-125.24,46.4,16.11
77,pisco,90,PE,1604783779,82,-13.7,-76.22,66.2,6.93
78,iquitos,75,PE,1604783780,66,-3.75,-73.25,89.6,3.36
79,popondetta,28,PG,1604783780,81,-8.75,148.25,77.76,1.81
80,rawson,97,AR,1604783689,36,-43.3,-65.1,67.55,21.97
81,longyearbyen,20,SJ,1604783780,86,78.22,15.64,28.4,2.24
82,soe,92,ID,1604783781,63,-9.86,124.28,68.25,2.46
83,tamale,47,GH,1604783781,34,9.4,-0.84,84.65,3.42
84,vaini,20,TO,1604783782,74,-21.2,-175.2,78.8,6.93
85,yulara,32,AU,1604783782,15,-25.24,130.99,71.6,6.93
86,springbok,36,ZA,1604783782,96,-29.66,17.89,50.61,6.91
87,poya,45,NC,1604783783,70,-21.35,165.15,77.13,8.72
88,panama city,20,PA,1604783553,66,8.99,-79.52,84.2,12.75
89,port alfred,1,ZA,1604783784,90,-33.59,26.89,68.41,7.56
90,okitipupa,100,NG,1604783784,95,6.5,4.78,75.74,2.66
91,airai,90,TL,1604783784,56,-8.93,125.41,62.82,2.24
92,namibe,28,AO,1604783599,67,-15.2,12.15,70.39,10.27
93,adrar,83,MR,1604783572,17,20.5,-10.07,85.8,10.04
94,north platte,1,US,1604783785,22,41.12,-100.77,78.8,24.16
95,ostrovnoy,100,RU,1604783565,86,68.05,39.51,35.24,20.07
96,narsaq,100,GL,1604783786,74,60.92,-46.05,28.4,5.26
97,berlevag,85,NO,1604783786,75,70.86,29.09,38.84,25.23
98,namatanai,68,PG,1604783786,72,-3.67,152.43,81.68,5.01
99,sinnamary,46,GF,1604783786,78,5.38,-52.95,81.25,14.74
100,hithadhoo,89,MV,1604783642,74,-0.6,73.08,82.87,9.75
101,vila franca do campo,20,PT,1604783584,77,37.72,-25.43,59.0,4.7
102,xam nua,31,LA,1604783787,94,20.42,104.04,57.72,1.43
103,port elizabeth,1,ZA,1604783787,93,-33.92,25.57,62.6,5.82
104,bintulu,20,MY,1604783788,94,3.17,113.03,77.0,2.28
105,eureka,0,US,1604783736,59,40.8,-124.16,55.0,7.0
106,prince albert,90,CA,1604783547,92,53.2,-105.77,23.0,17.22
107,hambantota,0,LK,1604783788,81,6.12,81.12,79.14,9.75
108,bathsheba,40,BB,1604783788,83,13.22,-59.52,82.4,17.22
109,lebu,0,CL,1604783789,63,-37.62,-73.65,55.99,23.24
110,los llanos de aridane,20,ES,1604783789,64,28.66,-17.92,68.0,8.05
111,sur,0,OM,1604783572,76,22.57,59.53,75.36,7.58
112,saint george,1,US,1604783536,18,37.1,-113.58,60.8,20.8
113,dikson,43,RU,1604783570,89,73.51,80.55,-2.87,11.3
114,qeshm,0,IR,1604783790,83,26.96,56.27,71.6,6.93
115,san ramon de la nueva oran,90,AR,1604783790,33,-23.13,-64.33,88.0,6.53
116,broken hill,0,AU,1604783790,41,-31.95,141.43,57.2,10.29
117,guerrero negro,42,MX,1604783589,62,27.98,-114.06,70.47,19.93
118,bredasdorp,0,ZA,1604783791,55,-34.53,20.04,62.6,16.11
119,saint anthony,90,US,1604783516,49,45.02,-93.22,73.99,16.11
120,ylivieska,1,FI,1604783792,78,64.08,24.55,42.01,5.01
121,acajutla,40,SV,1604783792,62,13.59,-89.83,84.2,4.7
122,vao,73,NC,1604783792,73,-22.67,167.48,73.31,11.32
123,kuytun,100,RU,1604783792,92,54.34,101.5,33.87,6.46
124,caravelas,0,BR,1604783683,84,-17.71,-39.25,76.48,5.82
125,georgetown,40,MY,1604783793,88,5.41,100.34,78.8,5.48
126,tawang,0,IN,1604783793,70,27.58,91.87,38.1,5.28
127,cabo san lucas,40,MX,1604783513,65,22.89,-109.91,84.0,10.29
128,kang,0,BW,1604783794,17,-23.68,22.79,83.7,3.04
129,tsagan aman,99,RU,1604783794,99,47.56,46.72,41.0,13.44
130,poum,5,NC,1604783794,73,-20.23,164.02,76.82,12.91
131,cidreira,2,BR,1604783795,80,-30.18,-50.21,69.04,14.0
132,araouane,0,ML,1604783795,14,18.9,-3.53,84.42,9.64
